user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
459355574	0.0015	0.0048	0.0001	0.9935	0.0003	0.9997	0.0002	0.9998
994571602716250112	0.3968	0.1715	0.205	0.2267	0.3602	0.6398	0.8774	0.1226
460199439	0.4769	0.3411	0.0386	0.1434	0.0224	0.9776	0.0	1.0
416609739	0.016	0.0612	0.0009	0.922	0.0007	0.9993	0.0002	0.9998
263803683	0.0033	0.9911	0.0001	0.0054	0.9994	0.0006	0.0	1.0
2900609921	0.3446	0.1961	0.4191	0.0401	0.0045	0.9955	0.0002	0.9998
67732099	0.0051	0.0504	0.0013	0.9431	0.0019	0.9981	0.0008	0.9992
47971085	0.0051	0.0009	0.0012	0.9928	0.002	0.998	0.0009	0.9991
1131797268	0.0116	0.0078	0.008	0.9726	0.0026	0.9974	0.7753	0.2247
835523998607888384	0.3157	0.6026	0.0239	0.0578	0.9509	0.0491	0.0027	0.9973
996464363971186689	0.0113	0.0088	0.009	0.9709	0.6407	0.3593	0.9143	0.0857
701470339	0.5873	0.0053	0.4055	0.0019	0.0466	0.9534	0.0	1.0
21576649	0.4108	0.3288	0.0951	0.1654	0.9567	0.0433	0.0003	0.9997
215094563	0.4865	0.3691	0.0421	0.1022	0.1249	0.8751	0.001	0.999
28286118	0.0001	0.0003	0.0	0.9996	0.0004	0.9996	0.0005	0.9995
254746224	0.8937	0.0823	0.0148	0.0092	0.0203	0.9797	0.0	1.0
18638542	0.4529	0.0664	0.0246	0.4562	0.0011	0.9989	0.0001	0.9999
2155524258	0.0013	0.0069	0.0015	0.9903	0.0221	0.9779	0.894	0.106
745136371979849728	0.7322	0.0649	0.1707	0.0322	0.0268	0.9732	0.0	1.0
588341487	0.0193	0.9684	0.001	0.0112	0.0002	0.9998	0.0	1.0
17309489	0.2401	0.0708	0.0427	0.6463	0.5846	0.4154	0.0005	0.9995
395901633	0.1592	0.0748	0.095	0.671	0.199	0.801	0.9452	0.0548
735858248662798336	0.3647	0.5929	0.0148	0.0276	0.999	0.001	0.0	1.0
702925232315764744	0.0003	0.9989	0.0	0.0008	0.0003	0.9997	0.0025	0.9975
1078735739029016576	0.0114	0.0278	0.0012	0.9596	0.9991	0.0009	0.0	1.0
841933546721800193	0.0776	0.1596	0.0342	0.7286	0.0294	0.9706	0.9116	0.0884
